	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
final_contigs_AG-910-A02_AG-910-A02_NODE_1_1	final_contigs_AG-910-A02	AG-910-A02_NODE_1	1	3	959	-1	D										Nucleotidyl transferase [PF00483.27]; MobA-like NTP transferase domain [PF12804.11]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_2	final_contigs_AG-910-A02	AG-910-A02_NODE_1	2	962	2104	-1	D										UDP-N-acetylglucosamine 2-epimerase [PF02350.23]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_3	final_contigs_AG-910-A02	AG-910-A02_NODE_1	3	2094	3119	-1	C	K18430	N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]								NeuB family [PF03102.18]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_4	final_contigs_AG-910-A02	AG-910-A02_NODE_1	4	3116	3733	-1	D										Dynactin subunit 5 [PF21711.1]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_5	final_contigs_AG-910-A02	AG-910-A02_NODE_1	5	3726	4874	-1	D										DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.21]; Aminotransferase class-V [PF00266.23]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_6	final_contigs_AG-910-A02	AG-910-A02_NODE_1	6	4867	5835	-1	D										GDP-mannose 4,6 dehydratase [PF16363.9]; NAD dependent epimerase/dehydratase family [PF01370.25]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.23]; Polysaccharide biosynthesis protein [PF02719.19]; RmlD substrate binding domain [PF04321.21]; Male sterility protein [PF07993.16]; NAD(P)H-binding [PF13460.10]; NmrA-like family [PF05368.17]; short chain dehydrogenase [PF00106.29]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_7	final_contigs_AG-910-A02	AG-910-A02_NODE_1	7	5832	6845	-1	C	K08679	UDP-glucuronate 4-epimerase [EC:5.1.3.6]								GDP-mannose 4,6 dehydratase [PF16363.9]; NAD dependent epimerase/dehydratase family [PF01370.25]; RmlD substrate binding domain [PF04321.21]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.23]; Male sterility protein [PF07993.16]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_8	final_contigs_AG-910-A02	AG-910-A02_NODE_1	8	6995	9607	1	C	K01991	polysaccharide biosynthesis/export protein								SLBB domain [PF10531.13]; Polysaccharide biosynthesis/export protein [PF02563.20]; Capsule biosynthesis GfcC C-terminal [PF06251.15]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_9	final_contigs_AG-910-A02	AG-910-A02_NODE_1	9	9626	11722	1	D										Exopolysaccharide biosynthesis protein YbjH [PF06082.15]					0
final_contigs_AG-910-A02_AG-910-A02_NODE_1_10	final_contigs_AG-910-A02	AG-910-A02_NODE_1	10	12035	12583	-1	E															0
